motrpac_comp_id	motrpac_comp_name	super_class	main_class	sub_class	multicomp_flag	formula	monoisotopic_mass	hmdb_id	refmet_id	cas_id	kegg_id	chebi_id	pubchem_id	lipidmaps_id	inchi_key	notes_comments
M05030170.000	TG(46:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C49H82O6	766.6111	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030170.001	TG(46:6)>TG(8:0_16:0_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C49H82O6	766.6111	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030170.002	TG(46:6)>TG(8:0_18:2_20:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C49H82O6	766.6111	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030171.000	TG(48:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C51H86O6	794.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030171.001	TG(48:6)>TG(10:0_16:0_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C51H86O6	794.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030171.002	TG(48:6)>TG(10:0_18:2_20:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C51H86O6	794.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030172.000	TG(50:8)	Glycerolipids	Triadylglycerols	NA	FALSE	C53H86O6	818.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030172.001	TG(50:8)>TG(10:0_18:2_22:6)_and_TG(50:8)>TG(10:0_20:4_20:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C53H86O6	818.6424	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06010001.000	PC(14:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C22H46NO7P	467.3306	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06010001.001	PC(14:0)>PC(14:0_0:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C22H46NO7P	467.3306	HMDB0010379	14991	20559-16-4	C04230	64489	460604	LMGP01050012*	VXUOFDJKYGDUJI-OAQYLSRUSA-N*	NA
M06010002.000	PC(15:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C23H48NO7P	481.3163	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06010002.001	PC(15:0)>PC(15:0_0:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C23H48NO7P	481.3163	HMDB0010381	NA	NA	C04230	580912	NA	LMGP01050016*	RJZVWDTYEWCUAR-JOCHJYFZSA-N*	NA
M06010003.000	PC(16:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C24H50NO7P	495.3319	NA	NA	NA	NA	NA	NA	NA	NA	NA
M06010003.001	PC(16:0)>PC(16:0_0:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C24H50NO7P	495.3319	HMDB0010382	14994	NA	C04230	NA	NA	LMGP01050018*	ASWBNKHCZGQVJV-HSZRJFAPSA-N*	NA
M06010003.002	PC(16:0)>PC(16:0/0:0)	Glycerophospholipids	Glycerophosphocholines	NA	FALSE	C24H50NO7P	495.3319	HMDB0010382	14994	NA	C04230	NA	NA	LMGP01050018*	ASWBNKHCZGQVJV-HSZRJFAPSA-N*	NA
